"TIME","GEO","Value"
2020,"Portugal",10297081
2020,"Romania",19257520
2020,"Slovenia",2102419
2020,"Slovakia",5458827
2020,"Finland",5529543
2020,"Sweden",10353442
2020,"Iceland",366463
2020,"Liechtenstein",38901
2020,"Norway",5379475
2020,"Switzerland",8636561
2020,"United Kingdom",NA
2020,"Montenegro",621306
2020,"North Macedonia",2072532
2020,"Albania",2837848
2020,"Serbia",6899126
2020,"Turkey",83384680
2020,"Andorra",NA
2020,"Belarus",NA
2020,"Bosnia and Herzegovina",NA
2020,"Kosovo",NA
2020,"Moldova",NA
2020,"Monaco",NA
2020,"Russia",NA
2020,"San Marino",NA
2020,"Ukraine",41575748
2020,"Armenia",2961473
2020,"Azerbaijan",10093121
2020,"Georgia",NA
